#header_line ,1: ,"mpirun -np 2 -ppn=2 -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1 PingPong -msglog 28 ",,,,,,
#header_line ,2: ,tnode007- core0,tnode007 - core1,,,,,
#header_line ,3: ,0.64,7698.03,,,,,
#header:,#bytes,#repetitions,t[usec],Mbytes/sec,t (computed),Mbytes/sec (computed ),t (estimated),Mbytes/sec (estimated )
,0,1000,0.43,0,0.43,0,0.64,0.00
,1,1000,0.43,2.31,0.433,2.305,0.64,1.56
,2,1000,0.43,4.6,0.432,4.606,0.64,3.12
,4,1000,0.44,9.18,0.434,9.222,0.64,6.24
,8,1000,0.43,18.44,0.432,18.488,0.64,12.48
,16,1000,0.44,36.78,0.434,36.849,0.64,24.92
,32,1000,0.47,67.55,0.47,68.086,0.64,49.68
,64,1000,0.47,135.16,0.471,135.571,0.65,98.72
,128,1000,0.58,222.57,0.576,222.465,0.66,194.94
,256,1000,0.61,417.4,0.619,413.411,0.67,380.24
,512,1000,0.8,640.76,0.818,625.106,0.71,724.69
,1024,1000,0.88,1166,0.887,1153.6,0.77,1324.67
,2048,1000,1.02,2011.52,1.055,1940.93,0.91,2260.38
,4096,1000,1.42,2877.75,1.479,2771.105,1.17,3494.63
,8192,1000,1.97,4161.2,1.995,4108.052,1.70,4807.04
,16384,1000,3.26,5019.62,3.269,5012.892,2.77,5918.36
,32768,1000,5.1,6420.6,5.085,6445.187,4.90,6691.89
,65536,640,9.32,7034.06,9.239,7095.244,9.15,7159.79
,131072,320,17.91,7317.7,17.945,7304.138,17.67,7419.16
,262144,160,34.45,7608.46,34.469,7605.021,34.69,7556.02
,524288,80,83.4,6286.59,83.373,6288.51,68.75,7626.36
,1048576,40,170.25,6159.01,170.206,6160.631,136.85,7662.03
,2097152,20,338.22,6200.49,337.616,6211.652,273.07,7679.99
,4194304,10,670.26,6257.73,669.795,6262.063,545.49,7689.00
,8388608,5,1399.31,5994.82,1405.321,5974.704,1090.35,7693.51
,16777216,2,3903.72,4297.75,3871.278,4333.873,2180.06,7695.77
,33554432,1,7949.37,4221.02,7965.517,4212.471,4359.47,7696.90
