#header_line ,1: ,"mpirun -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1 PingPong -msglog 28 ",,,,,,
#header_line ,2: ,tnode007-core0,tnode007-core2,,,,,
#header_line ,3: ,0.54,17294.28,,,,,
#header:,#bytes,#repetitions,t[usec],Mbytes/sec,t (computed),Mbytes/sec (computed ),t (estimated),Mbytes/sec (estimated )
,0,1000,0.23,0,0.23,0,0.54,0.00
,1,1000,0.23,4.3,0.232,4.277,0.54,1.85
,2,1000,0.23,8.58,0.234,8.528,0.54,3.70
,4,1000,0.23,17.18,0.233,17.085,0.54,7.40
,8,1000,0.23,34.3,0.232,34.164,0.54,14.80
,16,1000,0.23,68.52,0.234,68.218,0.54,29.58
,32,1000,0.24,132.82,0.241,131.949,0.54,59.06
,64,1000,0.24,264.81,0.242,263.102,0.54,117.71
,128,1000,0.26,491.68,0.26,492.232,0.55,233.83
,256,1000,0.28,910.05,0.28,912.124,0.55,461.43
,512,1000,0.42,1228.92,0.427,1202.646,0.57,898.87
,1024,1000,0.44,2313.38,0.448,2285.976,0.60,1708.92
,2048,1000,0.59,3472.94,0.593,3455.47,0.66,3110.47
,4096,1000,0.84,4862.62,0.852,4809.651,0.78,5272.63
,8192,1000,1.41,5792.5,1.415,5790.286,1.01,8081.42
,16384,1000,2.34,6993.41,2.338,7009.001,1.49,11015.45
,32768,1000,3.46,9475.82,3.482,9414.421,2.43,13458.57
,65536,640,5.65,11596.74,5.661,11575.47,4.33,15137.22
,131072,320,8.6,15243.64,8.631,15186.99,8.12,16144.02
,262144,160,14.89,17599.58,14.92,17569.577,15.70,16699.36
,524288,80,41.01,12784.29,41.056,12770.37,30.86,16991.62
,1048576,40,80.8,12977.88,81.131,12924.801,61.17,17141.61
,2097152,20,153.61,13652.27,153.557,13657.144,121.80,17217.61
,4194304,10,373.65,11225.09,384.943,10900.38,243.07,17255.86
,8388608,5,1110.61,7553.17,1113.632,7532.82,485.59,17275.05
,16777216,2,2449.81,6848.38,2431.183,6900.954,970.64,17284.66
,33554432,1,5917.2,5670.67,5914.923,5672.918,1940.74,17289.47
,67108864,1,11807.45,5683.6,11817.175,5678.953,3880.95,17291.87
,134217728,1,23819.89,5634.69,23779.788,5644.222,7761.36,17293.08
