#header_line ,1: ,mpirun -np 2 --map-by node --report-bindings ./IMB-MPI1 PingPong -msglog 28 ,,,,,,
#header_line ,2: ,tnode007,tnode008,,,,,
#header_line ,3: ,2.46,8614.58,,,,,
#header:,#bytes,#repetitions,t[usec],Mbytes/sec,t (computed),Mbytes/sec (computed ),t (estimated),Mbytes/sec (estimated )
,0,1000,0.99,0,1.13,0,2.46,0.00
,1,1000,0.98,1.02,0.99,1.01,2.46,0.41
,2,1000,0.98,2.04,0.994,2.008,2.46,0.81
,4,1000,0.98,4.07,1.15,3.775,2.46,1.63
,8,1000,0.98,8.14,1.085,7.679,2.46,3.25
,16,1000,0.99,16.19,1.144,15.118,2.46,6.50
,32,1000,1,31.97,1.173,29.666,2.46,12.99
,64,1000,1.14,56.12,1.174,54.83,2.47,25.94
,128,1000,1.18,108.08,1.186,107.929,2.47,51.72
,256,1000,1.4,182.52,1.729,168.493,2.49,102.82
,512,1000,1.48,346.8,1.49,344.066,2.52,203.22
,1024,1000,1.64,625.8,1.653,619.878,2.58,397.07
,2048,1000,2.31,886.3,2.543,836.872,2.70,759.15
,4096,1000,3.18,1287.67,3.624,1204.28,2.94,1395.35
,8192,1000,4.46,1836.97,4.78,1746.763,3.41,2401.68
,16384,1000,6.25,2619.56,6.398,2562.681,4.36,3756.17
,32768,1000,8.41,3895.55,8.963,3687.725,6.26,5231.34
,65536,640,16.44,3986.57,13.968,4794.07,10.07,6509.62
,131072,320,28.31,4629.54,22.021,6206.831,17.68,7415.62
,262144,160,53.52,4897.93,37.088,7289.627,32.89,7970.26
,524288,80,67.74,7739.7,59.424,8976.296,63.32,8279.90
,1048576,40,98.24,10673.41,104.488,10181.199,124.18,8443.93
,2097152,20,182.19,11511.09,193.043,10941.356,245.90,8528.40
,4194304,10,352.96,11883.19,397.678,10795.476,489.34,8571.27
,8388608,5,692.88,12106.86,756.421,11345.769,976.23,8592.87
,16777216,2,1382.54,12135.07,1618.15,10960.121,1950.00,8603.71
,33554432,1,2765.76,12132.09,2801.382,11997.68,3897.53,8609.14
,67108864,1,5517.46,12162.99,5933.395,11513.244,7792.61,8611.86
,134217728,1,11580.64,11589.84,11904.222,11590.004,15582.76,8613.22
,268435456,1,22104.64,12143.85,23795.837,11487.959,31163.06,8613.90
,0,1000,0.99,0,,,,
,1,1000,0.99,1.01,,,,
,2,1000,1.02,1.96,,,,
,4,1000,1,4.02,,,,
,8,1000,0.98,8.12,,,,
,16,1000,0.99,16.24,,,,
,32,1000,1,31.92,,,,
,64,1000,1.13,56.59,,,,
,128,1000,1.17,109.03,,,,
,256,1000,1.41,181.13,,,,
,512,1000,1.49,344.36,,,,
,1024,1000,1.66,618.03,,,,
,2048,1000,2.32,882.15,,,,
,4096,1000,3.26,1256.15,,,,
,8192,1000,4.59,1785.88,,,,
,16384,1000,6.58,2488.84,,,,
,32768,1000,8.52,3847.16,,,,
,65536,640,12.44,5267.46,,,,
,131072,320,18.8,6972.81,,,,
,262144,160,33.22,7891.51,,,,
,524288,80,54.69,9587.14,,,,
,1048576,40,98.1,10689.02,,,,
,2097152,20,188,11155.34,,,,
,4194304,10,373.01,11244.38,,,,
,8388608,5,733.32,11439.18,,,,
,16777216,2,1480.2,11334.45,,,,
,33554432,1,3162.31,10610.74,,,,
,67108864,1,5528.17,12139.44,,,,
,134217728,1,11034.01,12164.01,,,,
,268435456,1,33959.79,7904.51,,,,
,0,1000,2.39,0,,,,
,1,1000,0.99,1.01,,,,
,2,1000,0.99,2.01,,,,
,4,1000,2.54,1.57,,,,
,8,1000,1.94,4.12,,,,
,16,1000,0.99,16.09,,,,
,32,1000,1.02,31.53,,,,
,64,1000,1.14,56.3,,,,
,128,1000,1.18,108.26,,,,
,256,1000,4.55,56.32,,,,
,512,1000,1.48,345.9,,,,
,1024,1000,1.64,624.8,,,,
,2048,1000,2.3,889.94,,,,
,4096,1000,3.18,1289.86,,,,
,8192,1000,7.1,1154.46,,,,
,16384,1000,6.44,2545.99,,,,
,32768,1000,8.53,3840.27,,,,
,65536,640,15.81,4144.31,,,,
,131072,320,18.53,7072.32,,,,
,262144,160,32.72,8010.92,,,,
,524288,80,54.29,9656.55,,,,
,1048576,40,98.67,10627.05,,,,
,2097152,20,182.31,11502.9,,,,
,4194304,10,353.78,11855.62,,,,
,8388608,5,712.39,11775.32,,,,
,16777216,2,1382.43,12136.01,,,,
,33554432,1,2759.22,12160.84,,,,
,67108864,1,5527.77,12140.31,,,,
,134217728,1,11035,12162.91,,,,
,268435456,1,22080.72,12157.01,,,,
,0,1000,1,0,,,,
,1,1000,1,1,,,,
,2,1000,1.01,1.97,,,,
,4,1000,1.01,3.96,,,,
,8,1000,1.01,7.96,,,,
,16,1000,1.01,15.89,,,,
,32,1000,1.02,31.22,,,,
,64,1000,1.17,54.91,,,,
,128,1000,1.2,106.6,,,,
,256,1000,1.44,178.17,,,,
,512,1000,1.51,338.59,,,,
,1024,1000,1.68,607.83,,,,
,2048,1000,2.37,864.5,,,,
,4096,1000,3.25,1262.14,,,,
,8192,1000,4.8,1706.03,,,,
,16384,1000,6.55,2502.64,,,,
,32768,1000,10.46,3131.53,,,,
,65536,640,15.16,4323.38,,,,
,131072,320,26,5041.19,,,,
,262144,160,33.11,7918.52,,,,
,524288,80,54.41,9635.04,,,,
,1048576,40,99.36,10552.95,,,,
,2097152,20,184.21,11384.41,,,,
,4194304,10,492,8525.04,,,,
,8388608,5,1151.92,7282.26,,,,
,16777216,2,1382.63,12134.29,,,,
,33554432,1,2764.02,12139.72,,,,
,67108864,1,5517.59,12162.71,,,,
,134217728,1,11042.9,12154.21,,,,
,268435456,1,22067.72,12164.17,,,,
