#header_line ,1: ,mpirun -np 2 --report-bindings --map-by socket ./IMB-MPI1 PingPong -msglog 28 ,,,,,,
#header_line ,2: ,tnode007,tnode007,,,,,
#header_line ,3: ,4.29,16458.58,,,,,
#header:,#bytes,#repetitions,t[usec],Mbytes/sec,t (computed),Mbytes/sec (computed ),t (estimated),Mbytes/sec (estimated )
,0,1000,0.42,0,0.41,0,4.29,0.00
,1,1000,0.4,2.51,0.404,2.48,4.29,0.23
,2,1000,0.43,4.65,0.403,4.965,4.29,0.47
,4,1000,0.4,9.96,0.4,9.997,4.29,0.93
,8,1000,0.41,19.52,0.404,19.796,4.29,1.86
,16,1000,0.4,39.98,0.403,39.82,4.29,3.73
,32,1000,0.57,56.63,0.568,56.444,4.29,7.46
,64,1000,0.58,110.81,0.565,113.24,4.29,14.90
,128,1000,0.89,144.02,0.894,143.311,4.30,29.78
,256,1000,0.94,273.29,0.94,272.492,4.31,59.46
,512,1000,1.15,446.18,1.128,454.065,4.32,118.49
,1024,1000,1.34,764.3,1.31,781.829,4.35,235.28
,2048,1000,2.11,972.17,2.116,968.625,4.41,463.93
,4096,1000,3,1363.93,3.034,1350.226,4.54,902.43
,8192,1000,4.87,1683.84,4.903,1671.599,4.79,1711.04
,16384,1000,7.3,2243.6,7.574,2167.107,5.29,3099.82
,32768,1000,13.1,2500.51,13.395,2448.648,6.28,5217.06
,65536,640,24.46,2679.29,25.159,2609.191,8.27,7922.75
,131072,320,46.11,2842.75,47.162,2784.243,12.25,10696.48
,262144,160,13.38,19586.89,15.365,17355.083,20.22,12966.19
,524288,80,23.24,22559.78,27.247,19665.34,36.14,14505.13
,1048576,40,53.43,19624.44,56.677,18549.361,68.00,15420.24
,2097152,20,142.09,14759.79,146.802,14300.094,131.71,15922.50
,4194304,10,307.89,13622.94,304.551,13782.564,259.13,16186.10
,8388608,5,753.41,11134.19,687.858,12257.364,513.97,16321.20
,16777216,2,2223.11,7546.74,2132.538,7919.119,1023.65,16389.60
,33554432,1,5695.3,5891.6,5724.717,5863.6,2043.01,16424.02
,67108864,1,11936.01,5622.39,11896.635,5641.617,4081.73,16441.28
,134217728,1,23954.64,5602.99,23994.437,5594.235,8159.17,16449.93
,268435456,1,47734.02,5623.57,47977.669,5595.332,16314.05,16454.25
,0,1000,0.41,0,,,,
,1,1000,0.4,2.51,,,,
,2,1000,0.4,5.01,,,,
,4,1000,0.4,10,,,,
,8,1000,0.41,19.7,,,,
,16,1000,0.4,40.1,,,,
,32,1000,0.57,56.58,,,,
,64,1000,0.55,115.49,,,,
,128,1000,0.88,146.12,,,,
,256,1000,0.94,273.49,,,,
,512,1000,1.14,448.08,,,,
,1024,1000,1.31,780.99,,,,
,2048,1000,2.1,976.85,,,,
,4096,1000,3,1364.92,,,,
,8192,1000,4.92,1664.89,,,,
,16384,1000,7.81,2097.78,,,,
,32768,1000,13.67,2396.75,,,,
,65536,640,26.73,2451.9,,,,
,131072,320,49.97,2623.1,,,,
,262144,160,15.9,16492.05,,,,
,524288,80,25.6,20480.62,,,,
,1048576,40,55.65,18843.05,,,,
,2097152,20,146.03,14361.17,,,,
,4194304,10,300.52,13956.75,,,,
,8388608,5,642.25,13061.31,,,,
,16777216,2,2060.22,8143.4,,,,
,33554432,1,5658.38,5930.04,,,,
,67108864,1,11961.47,5610.42,,,,
,134217728,1,23927.56,5609.34,,,,
,268435456,1,47665.93,5631.6,,,,
,0,1000,0.41,0,,,,
,1,1000,0.4,2.51,,,,
,2,1000,0.4,4.99,,,,
,4,1000,0.4,9.97,,,,
,8,1000,0.4,19.8,,,,
,16,1000,0.4,39.87,,,,
,32,1000,0.56,57.15,,,,
,64,1000,0.55,115.95,,,,
,128,1000,0.89,143.3,,,,
