#header_line ,1: , mpirun -np 2 --report-bindings --map-by core ./IMB-MPI1 PingPong -msglog 28 ,,,,,,
#header_line ,2: ,tnode007,tnode007,,,,,
#header_line ,3: ,1.17,20562.29,,,,,
#header:,#bytes,#repetitions,t[usec],Mbytes/sec,t (computed),Mbytes/sec (computed ),t (estimated),Mbytes/sec (estimated )
,0,1000,0.2,0,0.205,0,1.17,0.00
,1,1000,0.21,4.82,0.201,5.045,1.17,0.85
,2,1000,0.19,10.54,0.189,10.555,1.17,1.71
,4,1000,0.19,20.94,0.193,20.899,1.17,3.42
,8,1000,0.19,41.91,0.191,42.138,1.17,6.84
,16,1000,0.19,84.38,0.19,84.249,1.17,13.67
,32,1000,0.22,145.49,0.226,142.044,1.17,27.31
,64,1000,0.22,289.51,0.222,287.019,1.17,54.56
,128,1000,0.3,420.84,0.303,420.755,1.18,108.82
,256,1000,0.33,768.45,0.328,776.634,1.18,216.50
,512,1000,0.35,1444.22,0.377,1352.774,1.19,428.49
,1024,1000,0.48,2121.69,0.492,2087.454,1.22,839.48
,2048,1000,0.74,2771.52,0.744,2753.589,1.27,1613.11
,4096,1000,1.12,3664.54,1.118,3663.964,1.37,2991.53
,8192,1000,1.88,4364.26,1.879,4363.095,1.57,5223.16
,16384,1000,3.02,5425.44,3.003,5461.445,1.97,8330.29
,32768,1000,4.76,6877.38,4.78,6858.234,2.76,11857.01
,65536,640,8.22,7972.33,8.197,7999.175,4.36,15040.87
,131072,320,14.6,8977.51,14.703,8916.014,7.54,17373.45
,262144,160,13.44,19511.93,13.51,19433.377,13.92,18833.84
,524288,80,24.42,21470.64,24.439,21501.266,26.67,19660.15
,1048576,40,54.77,19145.86,53.853,19483.851,52.17,20101.10
,2097152,20,139.83,14997.74,142.567,14718.251,103.16,20329.08
,4194304,10,313.82,13365.12,305.803,13718.339,205.15,20445.02
,8388608,5,899.87,9322.03,877.242,9563.716,409.13,20503.49
,16777216,2,2285.45,7340.89,2295.05,7310.516,817.09,20532.85
,33554432,1,5254.24,6386.17,5243.059,6399.892,1633.01,20547.56
,67108864,1,10440.65,6427.65,10430.449,6433.952,3264.86,20554.92
,134217728,1,20879.64,6428.16,20869.425,6431.32,6528.54,20558.60
,268435456,1,41723.82,6433.63,41658.796,6443.68,13055.92,20560.45
,0,1000,0.23,0,,,,
,1,1000,0.19,5.24,,,,
,2,1000,0.19,10.44,,,,
,4,1000,0.19,21.03,,,,
,8,1000,0.19,42.02,,,,
,16,1000,0.2,81.87,,,,
,32,1000,0.23,139.7,,,,
,64,1000,0.23,284.26,,,,
,128,1000,0.3,421,,,,
,256,1000,0.34,748.97,,,,
,512,1000,0.38,1334.16,,,,
,1024,1000,0.49,2105.41,,,,
,2048,1000,0.74,2752.08,,,,
,4096,1000,1.11,3689.35,,,,
,8192,1000,1.85,4427.52,,,,
,16384,1000,2.93,5597.26,,,,
,32768,1000,4.72,6944.77,,,,
,65536,640,8.03,8158.27,,,,
,131072,320,14.45,9067.84,,,,
,262144,160,13.72,19105.38,,,,
,524288,80,25.04,20940.72,,,,
,1048576,40,55.09,19034.41,,,,
,2097152,20,149.44,14033.35,,,,
,4194304,10,302.39,13870.32,,,,
,8388608,5,864.2,9706.8,,,,
,16777216,2,2280.6,7356.5,,,,
,33554432,1,5210.32,6440,,,,
,67108864,1,10426.68,6436.27,,,,
,134217728,1,20854.75,6435.83,,,,
,268435456,1,41617.04,6450.13,,,,
,0,1000,0.19,0,,,,
,1,1000,0.19,5.35,,,,
,2,1000,0.18,10.83,,,,
,4,1000,0.19,21.49,,,,
,8,1000,0.19,43.13,,,,
,16,1000,0.18,86.57,,,,
,32,1000,0.23,140.31,,,,
,64,1000,0.22,288.16,,,,
,128,1000,0.3,422.03,,,,
,256,1000,0.32,790.93,,,,
,512,1000,0.37,1367.45,,,,
,1024,1000,0.5,2057,,,,
,2048,1000,0.74,2763.8,,,,
,4096,1000,1.11,3683.27,,,,
,8192,1000,1.88,4367.08,,,,
,16384,1000,3.02,5428.01,,,,
,32768,1000,4.76,6887.47,,,,
,65536,640,8.2,7990.8,,,,
,131072,320,14.69,8919.65,,,,
,262144,160,13.92,18830.01,,,,
,524288,80,25.73,20374.85,,,,
,1048576,40,54.24,19333.54,,,,
,2097152,20,138.71,15119.19,,,,
,4194304,10,302.5,13865.3,,,,
,8388608,5,875.43,9582.33,,,,
,16777216,2,2300.6,7292.52,,,,
,33554432,1,5236.65,6407.62,,,,
,67108864,1,10414.94,6443.52,,,,
,134217728,1,20841.58,6439.9,,,,
,268435456,1,41605.27,6451.96,,,,
,0,1000,0.2,0,,,,
,1,1000,0.2,5.01,,,,
