#header_line ,1: ,"mpirun -np 2 --mca pml ob1 --report-bindings --map-by node --mca btl tcp,self ./IMB-MPI1 PingPong -msglog 28 ",,,,,,
#header_line ,2: ,tnode007,tnode008,,,,,
#header_line ,3: ,29.78,2898.29,,,,,
#header:,#bytes,#repetitions,t[usec],Mbytes/sec,t (computed),Mbytes/sec (computed ),t (estimated),Mbytes/sec (estimated )
,0,1000,17.06,0,16.302,0,29.78,0.00
,1,1000,17.21,0.06,16.349,0.06,29.78,0.03
,2,1000,17.08,0.12,16.338,0.124,29.78,0.07
,4,1000,17.08,0.23,16.338,0.244,29.78,0.13
,8,1000,17.2,0.47,16.355,0.491,29.78,0.27
,16,1000,17.24,0.93,16.42,0.974,29.79,0.54
,32,1000,17.39,1.84,16.469,1.945,29.79,1.07
,64,1000,17.41,3.68,16.622,3.854,29.80,2.15
,128,1000,17.77,7.2,17.078,7.501,29.82,4.29
,256,1000,17.76,14.41,17.067,15.006,29.87,8.57
,512,1000,18.44,27.76,17.481,29.323,29.96,17.09
,1024,1000,18.61,55.04,17.878,57.309,30.13,33.98
,2048,1000,40.18,50.96,39.383,52.013,30.49,67.18
,4096,1000,40.64,100.78,39.849,102.811,31.19,131.31
,8192,1000,42.02,194.93,40.988,199.925,32.61,251.24
,16384,1000,44.81,365.63,43.283,378.769,35.43,462.39
,32768,1000,56.35,581.53,51.703,636.339,41.09,797.55
,65536,640,61.1,1072.54,61.229,1070.517,52.39,1250.88
,131072,320,125.86,1041.42,117.323,1119.48,75.00,1747.54
,262144,160,166.75,1572.12,163.077,1615.101,120.23,2180.39
,524288,80,250.87,2089.87,244.082,2165.502,210.68,2488.60
,1048576,40,415.39,2524.29,396.493,2670.093,391.57,2677.87
,2097152,20,769.29,2726.1,733.999,2879.495,753.36,2783.72
,4194304,10,1595.72,2628.47,1493.935,2833.189,1476.95,2839.85
,8388608,5,3447.11,2433.52,3320.22,2542.02,2924.11,2868.77
,16777216,2,7099.84,2363.04,6827.046,2475.116,5818.44,2883.46
,33554432,1,14171.3,2367.77,13654.373,2473.57,11607.10,2890.85
,67108864,1,27723.02,2420.69,26714.201,2528.978,23184.42,2894.57
,134217728,1,54548.99,2460.5,52701.346,2564.732,46339.06,2896.43
,268435456,1,108261.99,2479.5,104225.117,2592.988,92648.34,2897.36
,0,1000,15.73,0,,,,
,1,1000,15.77,0.06,,,,
,2,1000,15.83,0.13,,,,
,4,1000,15.79,0.25,,,,
,8,1000,15.79,0.51,,,,
,16,1000,15.82,1.01,,,,
,32,1000,15.87,2.02,,,,
,64,1000,15.98,4,,,,
,128,1000,16.58,7.72,,,,
,256,1000,16.58,15.44,,,,
,512,1000,16.74,30.58,,,,
,1024,1000,17.37,58.96,,,,
,2048,1000,38.79,52.79,,,,
,4096,1000,39.35,104.1,,,,
,8192,1000,40.21,203.73,,,,
,16384,1000,42.14,388.79,,,,
,32768,1000,50.53,648.52,,,,
,65536,640,61.18,1071.28,,,,
,131072,320,112.35,1166.61,,,,
,262144,160,174.04,1506.2,,,,
,524288,80,258.35,2029.4,,,,
,1048576,40,424.04,2472.8,,,,
,2097152,20,775.7,2703.57,,,,
,4194304,10,1580.34,2654.05,,,,
,8388608,5,3519.62,2383.38,,,,
