#header_line ,1: ,"mpirun -np 2 --mca pml ob1 --report-bindings --map-by core --mca btl tcp,self ./IMB-MPI1 PingPong -msglog 28",,,,,,
#header_line ,2: ,tnode007,tnode007,,,,,
#header_line ,3: ,9.29,7130.89,,,,,
#header:,#bytes,#repetitions,t[usec],Mbytes/sec,t (computed),Mbytes/sec (computed ),t (estimated),Mbytes/sec (estimated )
,0,1000,5.44,0,5.348,0,9.29,0.00
,1,1000,5.47,0.18,5.424,0.182,9.29,0.11
,2,1000,5.48,0.37,5.426,0.369,9.29,0.22
,4,1000,5.46,0.73,5.437,0.736,9.29,0.43
,8,1000,5.49,1.46,5.453,1.468,9.29,0.86
,16,1000,5.46,2.93,5.45,2.936,9.29,1.72
,32,1000,5.46,5.86,5.447,5.875,9.29,3.44
,64,1000,5.52,11.59,5.462,11.72,9.30,6.88
,128,1000,5.58,22.96,5.539,23.121,9.31,13.75
,256,1000,5.69,44.99,5.593,45.792,9.33,27.45
,512,1000,5.71,89.64,5.636,90.872,9.36,54.69
,1024,1000,6.33,161.69,6.246,164.027,9.43,108.55
,2048,1000,6.14,333.78,6.075,337.188,9.58,213.84
,4096,1000,7.13,574.63,7.032,582.551,9.86,415.23
,8192,1000,7.44,1100.4,7.422,1104.058,10.44,784.76
,16384,1000,9.65,1697.7,9.634,1701.181,11.59,1413.92
,32768,1000,15.58,2102.94,15.558,2106.555,13.89,2359.92
,65536,640,30.28,2164.41,30.261,2165.98,18.48,3546.24
,131072,320,43.54,3010.59,43.198,3034.971,27.67,4736.82
,262144,160,61.88,4236.43,61.298,4277.134,46.05,5692.38
,524288,80,94.77,5532.46,94.793,5531.382,82.81,6330.95
,1048576,40,161.35,6498.72,161.007,6513.099,156.34,6707.15
,2097152,20,305.4,6866.95,303.626,6907.607,303.38,6912.53
,4194304,10,587.46,7139.71,593.086,7073.246,597.48,7020.01
,8388608,5,1469.8,5707.3,1476.384,5682.783,1185.67,7075.02
,16777216,2,3161.65,5306.47,3178.206,5279.715,2362.04,7102.84
,33554432,1,6405.78,5238.15,6407.051,5237.673,4714.79,7116.84
,67108864,1,12749.05,5263.83,12837.049,5228.607,9420.30,7123.86
,134217728,1,25414.8,5281.09,25508.244,5262.474,18831.31,7127.37
,268435456,1,50416.83,5324.32,50921.082,5273.194,37653.32,7129.13
,0,1000,5.17,0,,,,
,1,1000,5.26,0.19,,,,
,2,1000,5.24,0.38,,,,
,4,1000,5.46,0.73,,,,
,8,1000,5.46,1.47,,,,
,16,1000,5.47,2.92,,,,
,32,1000,5.46,5.86,,,,
,64,1000,5.48,11.69,,,,
,128,1000,5.55,23.04,,,,
,256,1000,5.6,45.7,,,,
,512,1000,5.7,89.87,,,,
,1024,1000,6.32,162.09,,,,
,2048,1000,6.1,335.71,,,,
,4096,1000,7.11,575.76,,,,
,8192,1000,7.41,1105.47,,,,
,16384,1000,9.74,1681.32,,,,
,32768,1000,15.51,2112.03,,,,
,65536,640,30.23,2167.73,,,,
,131072,320,43.09,3041.93,,,,
,262144,160,61.02,4295.89,,,,
,524288,80,95.18,5508.49,,,,
,1048576,40,160.76,6522.81,,,,
,2097152,20,304.33,6890.94,,,,
,4194304,10,613.64,6835.14,,,,
,8388608,5,1509.46,5557.35,,,,
,16777216,2,3263.05,5141.57,,,,
,33554432,1,6567.2,5109.4,,,,
,67108864,1,13092.47,5125.76,,,,
,134217728,1,26033.87,5155.5,,,,
,268435456,1,52819.46,5082.13,,,,
,0,1000,5.41,0,,,,
,1,1000,5.5,0.18,,,,
,2,1000,5.49,0.36,,,,
,4,1000,5.49,0.73,,,,
,8,1000,5.49,1.46,,,,
,16,1000,5.48,2.92,,,,
,32,1000,5.49,5.83,,,,
,64,1000,5.52,11.58,,,,
,128,1000,5.56,23.01,,,,
,256,1000,5.63,45.51,,,,
,512,1000,5.67,90.3,,,,
,1024,1000,6.25,163.79,,,,
,2048,1000,6.14,333.57,,,,
,4096,1000,7.07,578.98,,,,
,8192,1000,7.45,1100.21,,,,
,16384,1000,9.65,1698.33,,,,
,32768,1000,15.59,2101.37,,,,
,65536,640,30.43,2153.59,,,,
,131072,320,43.39,3020.5,,,,
,262144,160,61.84,4239.34,,,,
,524288,80,94.83,5528.71,,,,
,1048576,40,161.8,6480.81,,,,
,2097152,20,305.02,6875.46,,,,
,4194304,10,591.52,7090.69,,,,
,8388608,5,1482.41,5658.76,,,,
,16777216,2,3164.06,5302.42,,,,
,33554432,1,6396.16,5246.03,,,,
,67108864,1,12712.7,5278.88,,,,
,134217728,1,25362.06,5292.07,,,,
,268435456,1,50307.14,5335.93,,,,
,0,1000,5.42,0,,,,
,1,1000,5.49,0.18,,,,
,2,1000,5.48,0.37,,,,
,4,1000,5.46,0.73,,,,
,8,1000,5.5,1.45,,,,
,16,1000,5.49,2.92,,,,
,32,1000,5.49,5.83,,,,
,64,1000,5.49,11.66,,,,
,128,1000,5.56,23.03,,,,
,256,1000,5.61,45.67,,,,
,512,1000,5.65,90.65,,,,
,1024,1000,6.23,164.35,,,,
,2048,1000,6.06,337.78,,,,
,4096,1000,7.03,582.47,,,,
,8192,1000,7.41,1105.43,,,,
,16384,1000,9.57,1712.81,,,,
,32768,1000,15.53,2109.48,,,,
,65536,640,30.44,2152.72,,,,
,131072,320,43.54,3010.48,,,,
,262144,160,61.68,4250,,,,
,524288,80,95.03,5516.91,,,,
,1048576,40,161.77,6481.76,,,,
,2097152,20,305.61,6862.26,,,,
,4194304,10,601.8,6969.61,,,,
,8388608,5,1467.84,5714.93,,,,
,16777216,2,3153.83,5319.63,,,,
,33554432,1,6379.64,5259.62,,,,
,67108864,1,13059.52,5138.69,,,,
,134217728,1,25329,5298.97,,,,
,268435456,1,50186,5348.81,,,,
,0,1000,5.16,0,,,,
,1,1000,5.22,0.19,,,,
,2,1000,5.2,0.38,,,,
,4,1000,5.2,0.77,,,,
,8,1000,5.2,1.54,,,,
,16,1000,5.22,3.07,,,,
,32,1000,5.2,6.15,,,,
,64,1000,5.22,12.26,,,,
,128,1000,5.29,24.21,,,,
,256,1000,5.31,48.22,,,,
,512,1000,5.35,95.72,,,,
,1024,1000,5.89,173.97,,,,
,2048,1000,5.79,353.45,,,,
,4096,1000,6.65,615.57,,,,
