#header_line ,1: ,mpirun -np 2 --report-bindings --map-by node ./IMB-MPI1 PingPong -msglog 28 ,,,,,,
#header_line ,2: ,gnode001,gnode003,,,,,
#header_line ,3: ,5.62,12188.22,,,,,
#header:,#bytes,#repetitions,t[usec],Mbytes/sec,t (computed),Mbytes/sec (computed ),t (estimated),Mbytes/sec (estimated )
,0,1000,1.38,0,1.376,0,5.62,0.00
,1,1000,1.36,0.74,1.362,0.732,5.62,0.18
,2,1000,1.35,1.48,1.358,1.472,5.62,0.36
,4,1000,1.36,2.95,1.363,2.935,5.62,0.71
,8,1000,1.36,5.9,1.365,5.865,5.62,1.42
,16,1000,1.36,11.78,1.367,11.698,5.62,2.85
,32,1000,1.4,22.9,1.399,22.871,5.62,5.69
,64,1000,1.7,37.71,1.683,38.052,5.63,11.38
,128,1000,1.73,73.92,1.728,74.132,5.63,22.73
,256,1000,2,127.81,2.443,111.649,5.64,45.38
,512,1000,2.07,247.05,2.069,247.367,5.66,90.43
,1024,1000,2.31,443.06,2.303,444.61,5.70,179.52
,2048,1000,2.98,687.9,2.977,687.95,5.79,353.83
,4096,1000,3.96,1034.73,3.944,1038.92,5.96,687.70
,8192,1000,5.52,1484.27,5.508,1487.312,6.29,1301.95
,16384,1000,7.35,2229.15,7.299,2244.537,6.96,2352.59
,32768,1000,10.03,3265.39,10.046,3261.757,8.31,3943.91
,65536,640,14.5,4521.06,14.501,4519.638,11.00,5959.45
,131072,320,23.48,5581.9,23.51,5575.248,16.37,8004.89
,262144,160,33.89,7734.38,33.892,7734.628,27.13,9663.23
,524288,80,55.65,9420.38,56.363,9305.9,48.64,10779.84
,1048576,40,98.75,10618.75,98.85,10607.71,91.65,11440.85
,2097152,20,186,11275.27,185.365,11313.752,177.68,11802.72
,4194304,10,355.61,11794.66,355.551,11796.65,349.75,11992.37
,8388608,5,697.56,12025.65,698.021,12017.709,693.88,12089.50
,16777216,2,1382.55,12135.02,1383.578,12125.98,1382.13,12138.66
,33554432,1,2763.41,12142.42,2762.012,12148.597,2758.64,12163.39
,67108864,1,5505.02,12190.49,5508.285,12183.268,5511.66,12175.79
,134217728,1,11020.03,12179.44,11024.048,12175,11017.71,12182.00
,268435456,1,22046.61,12175.82,22054.275,12171.588,22029.79,12185.11
,0,1000,1.37,0,,,,
,1,1000,1.36,0.73,,,,
,2,1000,1.36,1.47,,,,
,4,1000,1.36,2.94,,,,
,8,1000,1.36,5.87,,,,
,16,1000,1.37,11.72,,,,
,32,1000,1.4,22.9,,,,
,64,1000,1.69,37.9,,,,
,128,1000,1.73,74.17,,,,
,256,1000,1.99,128.33,,,,
,512,1000,2.06,247.98,,,,
,1024,1000,2.3,445.5,,,,
,2048,1000,2.98,687.79,,,,
,4096,1000,3.95,1036.71,,,,
,8192,1000,5.51,1485.57,,,,
,16384,1000,7.31,2241.97,,,,
,32768,1000,10.03,3266.71,,,,
,65536,640,14.5,4518.75,,,,
,131072,320,23.54,5568.95,,,,
,262144,160,33.94,7722.64,,,,
,524288,80,55.52,9443.63,,,,
,1048576,40,98.82,10610.85,,,,
,2097152,20,184.73,11352.73,,,,
,4194304,10,354.59,11828.75,,,,
,8388608,5,699.09,11999.3,,,,
,16777216,2,1383.61,12125.68,,,,
,33554432,1,2759.73,12158.6,,,,
,67108864,1,5511.27,12176.66,,,,
