#header_line ,1: ,mpirun -np 2 --report-bindings --map-by socket ./IMB-MPI1 PingPong -msglog 28 ,,,,,,
#header_line ,2: ,gnode001,gnode001,,,,,
#header_line ,3: ,4.04,17077.06,,,,,
#header:,#bytes,#repetitions,t[usec],Mbytes/sec,t (computed),Mbytes/sec (computed ),t (estimated),Mbytes/sec (estimated )
,0,1000,0.42,0,0.431,0,4.04,0.00
,1,1000,0.42,2.39,0.425,2.353,4.04,0.25
,2,1000,0.42,4.8,0.421,4.771,4.04,0.50
,4,1000,0.42,9.59,0.422,9.525,4.04,0.99
,8,1000,0.41,19.29,0.419,19.066,4.04,1.98
,16,1000,0.43,37.6,0.422,38.003,4.04,3.96
,32,1000,0.57,56.26,0.569,56.218,4.04,7.92
,64,1000,0.56,113.67,0.569,112.518,4.04,15.83
,128,1000,1.04,122.89,1.048,122.221,4.05,31.62
,256,1000,1.11,230.94,1.101,232.731,4.05,63.13
,512,1000,1.19,428.7,1.188,430.702,4.07,125.80
,1024,1000,1.42,722.06,1.444,709.257,4.10,249.76
,2048,1000,2.08,982.53,2.094,978.212,4.16,492.32
,4096,1000,2.96,1382.3,2.971,1378.529,4.28,957.04
,8192,1000,4.66,1758.06,4.661,1757.307,4.52,1812.51
,16384,1000,7.04,2326.3,7.071,2317.38,5.00,3277.18
,32768,1000,12.88,2544.14,12.756,2569.305,5.96,5499.06
,65536,640,23.2,2824.36,23.311,2811.793,7.88,8319.22
,131072,320,42.85,3058.93,43.521,3012.788,11.72,11188.08
,262144,160,14.58,17978.23,14.627,17922.851,19.39,13519.09
,524288,80,26.62,19695.15,26.781,19586.184,34.74,15091.20
,1048576,40,62.55,16763.1,62.131,16888.138,65.44,16022.83
,2097152,20,158.32,13246.6,158.673,13223.652,126.85,16533.16
,4194304,10,351.92,11918.49,352.221,11912.097,249.65,16800.71
,8388608,5,781.19,10738.31,781.238,10739.542,495.26,16937.76
,16777216,2,2522.49,6651.04,2482.908,6757.461,986.48,17007.12
,33554432,1,6874.85,4880.75,6897.951,4864.651,1968.92,17042.02
,67108864,1,14125.41,4750.93,14210.441,4722.645,3933.81,17059.52
,134217728,1,28151.99,4767.61,28198.964,4759.873,7863.57,17068.29
,268435456,1,54909.62,4888.68,55365.788,4848.481,15723.11,17072.67
,0,1000,0.42,0,,,,
,1,1000,0.42,2.37,,,,
,2,1000,0.42,4.76,,,,
,4,1000,0.42,9.51,,,,
,8,1000,0.42,18.9,,,,
,16,1000,0.42,37.95,,,,
,32,1000,0.56,56.77,,,,
,64,1000,0.56,113.73,,,,
,128,1000,1.08,118.93,,,,
,256,1000,1.1,232.75,,,,
,512,1000,1.2,426.48,,,,
,1024,1000,1.42,720.59,,,,
,2048,1000,2.11,972.18,,,,
,4096,1000,3,1363.91,,,,
,8192,1000,4.66,1757.36,,,,
,16384,1000,7.07,2316.39,,,,
,32768,1000,12.54,2613.72,,,,
,65536,640,22.98,2851.79,,,,
,131072,320,43.32,3025.45,,,,
,262144,160,14.59,17962.44,,,,
,524288,80,26.36,19886.23,,,,
,1048576,40,62.46,16789.3,,,,
,2097152,20,162.68,12891.29,,,,
,4194304,10,357.78,11723.08,,,,
,8388608,5,794.06,10564.15,,,,
,16777216,2,2489.91,6738.08,,,,
,33554432,1,6983.45,4804.85,,,,
,67108864,1,14177.66,4733.42,,,,
,134217728,1,28601.34,4692.71,,,,
,268435456,1,55574.07,4830.23,,,,
,0,1000,0.43,0,,,,
,1,1000,0.43,2.33,,,,
,2,1000,0.42,4.8,,,,
,4,1000,0.42,9.58,,,,
,8,1000,0.42,19.26,,,,
,16,1000,0.42,38.32,,,,
,32,1000,0.56,56.76,,,,
,64,1000,0.56,114.76,,,,
,128,1000,1.04,123.24,,,,
,256,1000,1.1,233.37,,,,
,512,1000,1.19,430.6,,,,
,1024,1000,1.44,713.15,,,,
,2048,1000,2.1,976.92,,,,
,4096,1000,2.98,1375,,,,
,8192,1000,4.69,1745.38,,,,
,16384,1000,7.09,2311.24,,,,
,32768,1000,12.97,2526.35,,,,
,65536,640,23.65,2771.44,,,,
,131072,320,44.36,2954.55,,,,
,262144,160,14.63,17916.93,,,,
,524288,80,27.27,19228.2,,,,
,1048576,40,60.79,17248.24,,,,
,2097152,20,153.15,13693.59,,,,
,4194304,10,344.67,12169.12,,,,
,8388608,5,765.48,10958.69,,,,
,16777216,2,2456.96,6828.43,,,,
,33554432,1,6921.92,4847.56,,,,
,67108864,1,14167.15,4736.93,,,,
,134217728,1,27949.52,4802.15,,,,
,268435456,1,55610.92,4827.03,,,,
,0,1000,0.43,0,,,,
,1,1000,0.45,2.22,,,,
,2,1000,0.43,4.69,,,,
,4,1000,0.43,9.35,,,,
,8,1000,0.42,18.85,,,,
,16,1000,0.43,37.5,,,,
,32,1000,0.57,55.93,,,,
,64,1000,0.58,111.2,,,,
,128,1000,1.04,123.44,,,,
,256,1000,1.09,234.24,,,,
