#header_line ,1: ,mpirun -np 2 --report-bindings --map-by core ./IMB-MPI1 PingPong -msglog 28 ,,,,,,
#header_line ,2: ,gnode001,gnode001,,,,,
#header_line ,3: ,1.15,19664.1,,,,,
#header:,#bytes,#repetitions,t[usec],Mbytes/sec,t (computed),Mbytes/sec (computed ),t (estimated),Mbytes/sec (estimated )
,0,1000,0.23,0,0.22,0,1.15,0.00
,1,1000,0.24,4.18,0.216,4.638,1.15,0.87
,2,1000,0.22,9.26,0.218,9.217,1.15,1.74
,4,1000,0.22,17.99,0.212,18.825,1.15,3.48
,8,1000,0.21,37.56,0.21,37.895,1.15,6.95
,16,1000,0.21,74.99,0.21,75.642,1.15,13.90
,32,1000,0.25,129.2,0.248,129.117,1.15,27.79
,64,1000,0.25,261.12,0.247,260.964,1.15,55.50
,128,1000,0.35,365.79,0.352,363.36,1.16,110.68
,256,1000,0.39,661.14,0.377,677.37,1.16,220.12
,512,1000,0.47,1100.33,0.457,1120.389,1.18,435.36
,1024,1000,0.56,1841.27,0.559,1825.229,1.20,851.86
,2048,1000,0.77,2644.16,0.774,2641.92,1.25,1632.98
,4096,1000,1.15,3569.8,1.147,3569.135,1.36,3015.54
,8192,1000,1.9,4317.83,1.898,4321.172,1.57,5229.17
,16384,1000,2.95,5549.35,2.949,5556.823,1.98,8261.42
,32768,1000,4.73,6921.09,4.737,6918.085,2.82,11634.76
,65536,640,8.06,8128.46,8.081,8109.956,4.48,14619.52
,131072,320,14.63,8957.05,14.665,8936.735,7.82,16770.67
,262144,160,13.95,18786.91,13.969,18765.576,14.48,18102.50
,524288,80,25.53,20538.1,25.76,20357.25,27.81,18851.01
,1048576,40,59.04,17761.57,60.927,17220.143,54.47,19248.97
,2097152,20,157.38,13325.05,157.666,13302.085,107.80,19454.32
,4194304,10,334.88,12524.64,340.24,12328.841,214.45,19558.65
,8388608,5,983.72,8527.46,974.056,8613.864,427.75,19611.23
,16777216,2,2491.57,6733.6,2504.814,6698.093,854.34,19637.63
,33554432,1,5454.4,6151.81,5505.967,6094.393,1707.53,19650.86
,67108864,1,11381.96,5896.07,11344.363,5915.758,3413.91,19657.48
,134217728,1,22340.71,6007.76,22469.439,5973.431,6826.67,19660.79
,268435456,1,43685.54,6144.72,43902.518,6114.431,13652.19,19662.44
,0,1000,0.21,0,,,,
,1,1000,0.21,4.8,,,,
,2,1000,0.21,9.52,,,,
,4,1000,0.21,19.06,,,,
,8,1000,0.21,38.06,,,,
,16,1000,0.21,75.92,,,,
,32,1000,0.25,129.22,,,,
